,stationary,home,route,tom,memory,forgets,hears
0,0.5,0.5,0.0,1.0,1.0,0.5,0.5
1,0.5,0.5,0.0,0.0,1.0,0.5,0.5
2,0.0,0.0,1.0,0.0,1.0,0.5,0.5
3,0.0,0.0,1.0,0.992,0.985,0.5,0.5
4,0.5,0.5,0.0,0.5,0.5,0.5,0.0
5,0.5,0.5,0.0,0.667,0.6,0.5,1.0
6,0.0,1.0,0.0,0.0,0.0,0.5,0.5
7,1.0,0.0,0.0,0.0,0.0,0.5,0.5
8,0.333,0.333,0.333,0.0,1.0,0.5,0.5
9,0.5,0.5,0.0,0.0,1.0,0.0,0.0
10,0.0,1.0,0.0,0.0,1.0,1.0,0.5
11,0.0,0.0,1.0,0.5,0.5,0.5,0.0
12,0.0,0.0,1.0,0.667,1.0,0.5,1.0
13,1.0,0.0,0.0,0.0,1.0,1.0,0.5
14,0.333,0.333,0.333,1.0,1.0,0.5,0.5
